id,place_name,city,description,image_url,time,distance,price,age,lung,motion,sight,r_r,a_r,h_r,m_r,n_r,s_r,c_r,e_r
145,Helix Bridge ,Singapore," Connecting Marina Central to Marina South in the Marina Bay area of Singapore lays the gorgeous Helix Bridge. Popularly known as ""The Helix"", it is a pedestrian bridge linking the city's existing CBD area with the newly developed Bayfront district. The stunning edifice shines dazzlingly at night by ribbons of LED lighting, turning it into a popular tourist attraction. ",https://www.holidify.com/images/cmsuploads/square/8295145909_864354fb21_b_20190807114456.jpg,5.6,7,3000,-1,0,1,1,8.6,3.2,4.4,3.1,1.9,3.6,6.3,6
146,Siloso Beach ,Singapore," Located on Sentosa Island, the Siloso Beach is renowned for being the hippiest of the three beaches located here (Siloso, Palawan and Tanjong). Siloso is full of people at all times of the day being home to some of the best bars and restaurants in the area. The perfect place for people who love the sun and the sand, Siloso Beach is well known for its outdoor activities, especially beach volleyball.  ",https://www.holidify.com/images/cmsuploads/square/35950677093_5c6fd480c4_k_20180702153117.jpg,3.5,9.5,2700,-1,0,0,0,8.6,2.2,6.7,2.1,6.1,3.9,1.6,6.9
147,Tiger Sky Tower ,Singapore," Experience the breathtaking panoramic view of the sprawling urbanopolis of Singapore like never before as you stand atop the Tiger Sky Tower, Singapore's highest observation tower. Located on the vibrant Sentosa Island, this towering structure, measuring an impressive height of 131 metres, is a landmark of Singapore, offering visitors a view of the entire skyline of Singapore in all its magnificence, with a far-reaching view of the Johor Bahru and Indonesia skylines visible in the distant horizon. ",https://www.holidify.com/images/cmsuploads/square/386px-TigerSkyTowerNight_20180612162348.jpg,3.4,3.2,2600,1,0,1,0,4.9,5.1,3,8,2.4,1.6,6.6,6
148,ArtScience Museum ,Singapore," The ArtScience museum at Marina Bay is a premier exhibition space featuring touring exhibitions, colliding the world of art and science. One of the quirkiest buildings in Singapore, it houses ever-changing themes and displays across its 21 gallery spaces. ",https://www.holidify.com/images/cmsuploads/square/1024px-ArtScience_Museum_viewed_from_Bayfront_Drive_20180514203240_20180514203347.jpg,3.7,4.6,900,1,0,1,1,6.5,8.7,8.1,8.6,8.1,3.1,5.5,8.9
149,Waterfront Promenade Singapore ,Singapore," The Waterfront Promenade is a long walking stretch of more than 2 miles lying across the bay walkway and connecting the Bayfront, Marina Centre and Collyer Quar in Singapore. The well-kept waterfront is lined with boutique shops and fancy restaurants. Visitors also often come here to witness the sunsets and high rise views. The main attraction of Waterfront Promenade is the Merlion statue (the national icon of Singapore). ",https://www.holidify.com/images/cmsuploads/square/05_MB_water_promenade_04_20180609201912.jpg,2.7,3.5,2300,-1,1,1,1,9.3,7.8,6.8,3.2,8.2,7.2,4.2,3
150,National Orchid Garden ,Singapore," Located on the highest hill of the Singapore Botanic Gardens, the National Orchid Garden is home to the largest display of tropical orchids in the world/. It currently houses over 60,000 orchid plants, out of which 1000 are pure species and 2000 are hybrids. ",https://www.holidify.com/images/cmsuploads/square/NOGcover_20180507152754.JPG,3.7,1.6,3800,1,0,1,0,8,5.7,4.1,5.4,9.4,2.9,7.8,2.1
151,National Gallery Singapore ,Singapore," The National Gallery Singapore is an art museum showcasing the world's largest collection of colonial and post-colonial Asian and Southeast Asian art. Housed in the iconic former Supreme Court Buildings and the City Hall, it is the largest museum and venue for the visual arts in Singapore. ",https://www.holidify.com/images/cmsuploads/square/32211628285_215189cafb_k_20180516001413.jpg,5.4,8.1,1400,0,0,0,1,1.8,7.3,4.7,8.8,7.4,9.1,7.3,1.8
152,East Coast Park ,Singapore," East Coast Park is a 15km long stretch of seafront park, the largest in Singapore, nestled along the southeastern coast. Spread across 185 hectares of reclaimed land, the beautiful park is a much-loved spot among the locals who flock here to windsurf, swim, kayak, picnic, swim, barbecue, bicycle, skateboard and eat.  ",https://www.holidify.com/images/cmsuploads/square/6afa1e6524d409aa9ca05636119ea625_20180509182456.jpg,3.5,5.5,3300,-1,1,0,0,5.4,5.5,8.1,4.3,3.7,6.9,4.5,6.1
153,Cloud Forest ,Singapore," The Cloud Forest Dome, housed in Gardens by the Bay is a greenhouse-like structure, re-creating the tropical montane climate found between 1500m and 3000m. The centrepiece attraction of this conservatory is a 35m high mountain with the world's tallest indoor waterfall.  ","https://www.holidify.com/images/cmsuploads/square/1024px-Cloud_Forest,_Gardens_by_the_Bay,_Singapore_-_20120617-05_20180509111022.jpg",5,4.4,3800,1,0,0,0,6.5,9,5.7,2.1,5.6,4.3,3,2.3
154,Raffles Hotel Singapore ,Singapore," One of the most famous and iconic hotels in Singapore, the Raffles Hotel is on the top of almost every visitorâ€™s to-visit list in Singapore. Located in the Colonial District of Singapore, it is claimed to be one of the world's last majestic 19th century hotels.   ",https://www.holidify.com/images/cmsuploads/square/attr_2512_20190906125331.jpg,5.3,1.6,3100,0,0,1,1,5.6,4,2.9,1.7,8.6,1.8,3.6,3
155,Clarke Quay ,Singapore," Famous as a party hub of Singapore, Clark Quay comes to life during the night.Â Once a hub of commerce during 19th century,Â today it lives up to its legacy of being a busy center, just with more polish and sheen. ",https://www.holidify.com/images/cmsuploads/square/Another_view_of_Clarke_Quay_(8569811690)_20190127113119.jpg,3.5,6.3,3300,1,0,0,0,1.7,9,7.3,9.3,5.1,3.8,9.5,8.6
156,Asian Civilisations Museum ,Singapore," Ranked as one of the top museums in Asia, the Asian Civilisations Museum in Singapore displays artefacts and relics depicting the cultures and civilisations of Asia. Covering a massive area of 14,000 square metres, there are over 2000 artefacts spread across seven galleries on three levels.  ",https://www.holidify.com/images/cmsuploads/square/40723734372_59dfcd5094_b_20191021162537.jpg,3.7,9.9,1200,-1,1,0,0,8.6,3.4,5.8,3,3.6,2.6,8.9,2.3
157,Pulau Ubin ,Singapore," Pulau Ubin is a 10.2 square kilometre island lying northeast of Singapore. Translating to Granite Island in Malay, it is one of the last two kampongs of Singapore - a place where one can truly enjoy and experience Singapore for what it used to be. The main attraction is the Chek Jawa Wetlands. ",https://www.holidify.com/images/cmsuploads/square/8241420576_56957f75ca_k_20191016131432.jpg,3.5,4.9,1700,-1,1,0,0,5.4,9.2,2.2,6.7,4.9,8.3,3,4.5
158,Sri Mariamman Temple ,Singapore," The oldest temple in Singapore, Sri Mariamman Temple is located paradoxically in the centre of Chinatown. Dating back to 1827, the exquisite temple is dedicated to Goddess Mariamman, a Hindu deity known for curing illness, disease and epidemics.  ",https://www.holidify.com/images/cmsuploads/square/7049605733_eb6302d7f2_o_20191001135833.jpg,5.6,6.2,3300,-1,1,1,1,3.2,3.9,7,5.7,5.3,2.8,4,8.1
159,Chinese Garden ,Singapore," Based on the concept of Chinese gardening art, the Chinese Garden in Singapore a 13.5 hectare landscaped garden. It houses a seven-storey pagoda, Chinese-style pavilions and stone bridges, a stunning Bonsai garden and a lantern-studded Japanese Garden. ",https://www.holidify.com/images/cmsuploads/square/15607159153_47dd416fd9_b_20180714202112.jpg,5.4,7.2,500,-1,1,1,0,7.8,7.9,4.4,5.3,9.2,6,4.3,4.8
160,Haw Par Villa ,Singapore," Formerly known as the Tiger Balm Garden, Haw Par Villa is an Asian culture theme park and Singapore's largest outdoor art gallery, located along the Pasir Panjang Road. Claimed to be the last of its kind in the world, this repository of Asian folklore and myths is famous for depicting the ""Ten Courts of Hell"" from Chinese folklore.  ",https://www.holidify.com/images/cmsuploads/square/Haw_Par_Villa_3_(32129418165)_20180626114310.jpg,5.7,4.8,2900,1,0,1,0,6.4,4.2,3.6,6.8,2,7.8,6.4,4.4
161,Changi Chapel and Museum ,Singapore," Changi Chapel and Museum is a place that stores the horrors of WWII, showcasing the cause and consequences of the war through its varied collection. ",https://www.holidify.com/images/attr_square/11514.jpg,4,6.4,600,-1,1,0,1,9,8.3,2.7,5.4,7.8,7.9,4.1,8.5
162,Madame Tussauds Singapore ,Singapore," Madame Tussauds Singapore is the Singapore branch of the popular Madame Tussauds wax museum based out of London. The museum in Singapore has life-like wax statues of notable personalities and global icons in the fields of art, music, movies, sports, and politics. ",https://www.holidify.com/images/cmsuploads/square/Madame_Tussauds_Singapore_facade_12.29.15_20180530210645.JPG,3.5,7.1,900,1,1,1,0,3.1,4.3,7.9,5.9,2.3,8.8,4.1,7.5
163,Fort Canning Park ,Singapore," Located on the iconic Fort Canning Hill of Singapore, the Fort Canning Park is a historical landmark having witnessed major historical milestones of Singapore. Formerly known as the ""Forbidden Hill"", it houses 9 historical gardens and is a popular spot for hiking and artistic activity. ",https://www.holidify.com/images/cmsuploads/square/4256417922_7e2a2e929d_b_20190813231502_20190813231522.jpg,3.6,4.2,2100,-1,0,0,0,6.6,3.6,6,1.7,8.1,8.2,5.2,5.6
164,National Museum of Singapore ,Singapore," Home to a myriad of historical artefacts as well as exhibits, the National Museum of Singapore boasts of being the countryâ€™s oldest museum. The Singapore History Gallery is the chief attraction of this fascinating museum where a story-telling approach has been adopted to detail Singapore's past. ",https://www.holidify.com/images/cmsuploads/square/NMScover_20180516190327.jpg,5.9,6.2,2900,0,1,0,1,8.3,3.8,4.8,6.5,3.4,6.9,1.9,3.4
165,Adventure Cove Waterpark ,Singapore," Located at the Resorts World Sentosa in Singapore, the Adventure Cove Waterpark is known for its thrilling rides and fascinating encounters with the marine life. Spread over a little more than 20 acres, this aquatic adventure park is ideal for snorkelling, sea trekking, PADI certified scuba activities, shark diving or drifting lazily by the river. ",https://www.holidify.com/images/cmsuploads/square/14818960760_4fe5820c90_k_20180524201044.jpg,5.9,1.7,2400,-1,0,1,1,7.2,2.8,5.4,3.8,3,3.8,2.2,1.9
166,Changi Beach Park ,Singapore," Changi Beach Park is one of the oldest coastal parks in Singapore, situated at the northern tip of Changi. Lined by a palm-fringed strip of turquoise water and barbecue pits, it is a much-visited place for a picnic, swimming and barbecues. It is also a popular overnight family picnic spot, especially on the weekends. ",https://www.holidify.com/images/cmsuploads/square/ChangiBeach_20170714174732.jpg,3.2,8.3,2200,0,0,1,0,6.8,1.6,7.1,2.4,6.5,1.7,3.3,5
167,Singapore Grand Prix ,Singapore," The Singapore Grand Prix is an annual night race held at Marina Bay Street Circuit. A part of the Formula 1 World Championship, it is a great attraction for adventure junkies, motorheads, and racers alike. ",https://www.holidify.com/images/cmsuploads/square/5046826370_043ef20af9_b_20180713192652.jpg,3.6,4.7,800,0,1,0,1,8.2,3.6,5,4.6,7.8,7,8.1,3.9
168,F1 Street Circuit Driving Experience in Singapore ,Singapore, The F1 Street Circuit Driving Experience at Marina Bay Sands is every F1 aficionadoâ€™s dream come true. This driving experience allows the racer to drive on Singaporeâ€™s F1 track for fifteen minutes either by himself/herself or with the help of a professional. ,https://www.holidify.com/images/cmsuploads/square/32032692091_13cc32cc1d_k_20180713184558.jpg,3.3,7.2,3600,0,0,0,0,7.9,3.5,4.7,7.6,2.8,5.6,3.5,6.3
169,Eiffel Tower ,Paris," Stretched high in the skies of Paris, the iconic Eiffel Tower is probably the most well-known symbol of the country, France. Built initially as a temporary structure, the tower is at present amongst the most visited sites in the world and has turned into a celebrated example of a one-off style of architecture. It is located on the Champ de Mars space and hosts the visitors on its three levels â€“ with restaurants on the first two floors and the observation deck on the third. The evening show here is a spectacle to not miss out as the â€˜Iron Ladyâ€™ sparkles in her beautiful lights for about 5 minutes every hour. ",https://www.holidify.com/images/cmsuploads/square/eiffel-tower-975004_20190807180942.jpg,5.4,9.5,3900,1,1,0,1,4.1,2.8,3.5,3.6,5.8,6.4,6,9.5
170,The Louvre ,Paris," Elegant and lavish in style, the French museum of Louvre is a landmark monument in the city Paris which stands tall with the tag of worldâ€™s largest museum. It is housed in the Louvre Palace on the banks of the Seine and hosts impressive art collections in the departments of Egyptian antiques, Greek, Etruscan and Roman Antiquities, Islamic Art, Sculptures, Decorative Arts, Paintings, Prints and Drawings with the Mona Lisa by Leonardo Da Vinci as the most famous exhibit. The Carrousel and Tuileries Gardens are other historical sites here with an open-air sculpture museum, whose pathways lead to the Louvre. ",https://www.holidify.com/images/cmsuploads/square/26221186587_e998babc65_b_20190808120001.jpg,4.3,7.9,900,-1,0,1,1,9.3,3.5,8.8,2,6.5,9.2,5.5,7.8
171,Notre Dame ,Paris," Cathedral de Notre-Dame is a Roman Catholic church on the Ã_le de la CitÃ© in Paris, known for its architecture. Take a trip to the Cathedral's treasury to appreciate liturgical objects made of gold on display, an insight into the workmanship of the 17th & 18th century. An ascent to the Cathedral towers will reward you with a breath-taking view of the city. ",https://www.holidify.com/images/cmsuploads/square/attr_2160_20190724131258.jpg,5.7,6.4,600,1,1,0,1,1.9,8.7,3.6,6.5,7.7,4.8,4.1,8.7
172,Arc de Triomphe ,Paris," The Arc de Triomphe, also known as the Arch of Triumph, is the most monumental of all the triumphal arches in Paris, France. The Neoclassical architectural style of this arch holds within itself a tradition of sculpture from the early 19th Century. The arch was built in remembrance of and to honor martyred soldiers who gave their lives for the country during the leadership of Napoleon. It symbolizes the pride of the French and commemorates every victorious battle won by the French leader. ",https://www.holidify.com/images/cmsuploads/square/5168825019_ae12394d61_b_20190612160543.jpg,2.5,8.8,3300,-1,1,0,0,8.1,3.4,5.1,3.8,5.6,9.2,8.8,3.9
173,Sacre-Coeur ,Paris," The Basilica of the Sacred Heart of Paris, more commonly known as the SacrÃ©-CÅ“ur is a Roman Catholic church and a basilica, situated on the Montmartre hill in Paris, France. It is dedicated to the Sacred Heart of Jesus, which represents the love of Jesus Christ. The basilica is the second highest point of the city, next to the Eiffel Tower, due to its position on the Montmartre hill. There is also an observation deck that is located at the topmost points of the central dome. These observation points will deliver to you captivating views of the shimmering golden city of Paris bedecked in its monumental finesse. ",https://www.holidify.com/images/cmsuploads/square/15128635041_6db43334b7_b_20190809122942.jpg,2.3,5.7,1800,-1,1,1,0,9.1,6.1,2.9,7.5,6.6,3.3,5.7,1.7
174,Montmartre ,Paris," Montmartre, a high-raised village suburb, gives way to some of the most picturesque scenes in Paris.  Many artists of the bygone era have been inspired and influenced by Montmartre - from Picasso, Van Gogh to Renoir and Monet. Many painters and artists have lived for a brief time in this rustic neighbourhood and their impressions can still be felt in the Montmartre suburbia. Some of the must visit attractions in Montmartre are Sacre Coeur, Church of St. Pierre, Sinking House of Montmartre, Moulin Rogue, Place du Tertre, Le Mur des Je tâ€™aime and many others. ",https://www.holidify.com/images/cmsuploads/square/paris-3193674_960_720_20190724183345.jpg,4.2,6.9,2300,0,1,1,0,8,4.2,5.3,4.8,6.9,7.4,5.1,7.3
175,Palais Garnier ,Paris," Symbolic of grand Parisian architecture and the opera culture of the country, Palais Garnier on Champs-Elysees in Paris is a 19th-century opera house with breathtaking interiors and exteriors. It can host an audience of above 2000 and is one of Parisâ€™ most visited historical monuments. Palais Garnier mostly hosts ballets in its auditorium at present and is home to the Paris Opera Library Museum and while here, the grand staircase, the foyer and the auditorium are spaces to not miss out on! ",https://www.holidify.com/images/cmsuploads/square/attr_2170_20190808170010.jpg,4.9,6.4,3200,0,0,1,0,7.6,3.2,9,6.5,2.8,5,7.8,8.2
176,Jardin des Tuileries ,Paris," Jardin des Tuileries, also known as the Tuileries Garden, is a public garden, located between the Place de la Concorde and the Louvre Museum in Paris. It was created by Catherine deâ€™Medici as the garden of Tuileries Palace in 1564. After the French Revolution, it was declared as a public park, where people come to relax, stroll and chat with friends, and enjoy a peaceful evening. Taking a stroll at the Tuileries Gardens is a contrasting experience from the rest of the city, and is described by some to be paradise-like. ",https://www.holidify.com/images/cmsuploads/square/800px-Grand_bassin_octogonal_Jardin_des_Tuileries_003_20190628152845.jpg,4.9,5.2,1100,1,0,1,1,4.9,1.9,3.4,2.3,3.7,6.8,8.7,3.2
177,"Moulin Rouge, Paris ",Paris," Moulin Rouge, the most famous cabaret in the world, was founded in 1889 and has since emerged as the most entertaining source of musical dance entertainment for tourists and visitors visiting Paris from all around the world. Home to the Can-can dance, Moulin Rouge is a lively place which allows different kinds of people to mix, enabling them to have conversations and show themselves a really good time.  ",https://www.holidify.com/images/cmsuploads/square/france-920058_960_720_20190612160848.jpg,3.1,2.2,900,0,0,1,1,8.9,2.8,8.8,8.1,4.9,9.2,1.7,7
178,"Disneyland, Paris ",Paris," Formerly known as the Euro Disney Resort, Disneyland Paris is one of the primary reasons why one visits Paris. Spread across 4800 acres, Disneyland Paris is a combination of excitement and thrill due to a variety of domains of entertainment, ranging from exciting rides, shopping, dining and resorts, to a vast golf course. Disneyland Paris was opened in 1992 and saw around 15 million visitors annually. It is mainly composed of two theme parks - The Disneyland Park and Walt Disney Studios Park. Disneyland Paris is the most visited theme park in all of Europe, and the largest resort to be opened outside the United States. ",https://www.holidify.com/images/cmsuploads/square/disney-1788303_960_720_20190628150119.jpg,3.9,3.3,1300,1,0,1,0,4.4,4.9,3.1,6.9,5,4.4,6.6,3.3
179,Pantheon ,Paris," A representation of neo classical architecture, the Pantheon is situated in the Latin Quarter. ",https://www.holidify.com/images/attr_square/11176.jpg,5.8,6.1,1200,-1,1,1,1,9.1,5.6,7.8,2.7,6.6,2.7,5.5,3.1
180,Musee d' Orsay ,Paris," Located on the banks of the Seine in Paris, MusÃ©e d'Orsay is a renowned impressionist and post-impressionist collective art space which caters mainly to French Art. Formerly the Gare d'Orsay train station, this museum's architecture is often described to be art itself and holds its name amongst the largest museums representative of the impressionist and post-impressionist art form. It also plays host films, concerts and performances and contains iconic relics like the MusÃ©e d'Orsay Clock. ",https://www.holidify.com/images/cmsuploads/square/4725795882_b17f56e1f6_b_20190809134952.jpg,5.5,1.7,1800,1,1,0,1,8.2,4.7,6.8,6.8,5.1,6.4,6.6,7.5
181,Saint-Germain-des-Pres ,Paris," Saint-Germain-des-Pres is a quarter located in the 6th arrondissement of Paris, France. It is bordered by the River Seine on the north, which testifies for its beautiful views. It is the birthplace of many non-conformist notions such that its divergent tendencies sit comfortably next to age-old Parisian architecture and glory. The quarter is known for its variety of street shops, bookstores, famous cafes and publishing houses. The eminent school of fine arts, the Ecole des Beaux-Arts and the Musee national Eugene Delacroix, former apartment and studio of painter Eugene Delacroix are also located in this area.  ",https://www.holidify.com/images/cmsuploads/square/St_Germain_des_Pres_20190627183436.jpg,4.3,9,3300,-1,0,1,0,4,1.9,7.4,9.5,3.1,2.5,7,7.3
182,Saint Chapelle ,Paris," The Sainte-Chapelle or the Holy Chapel is a royal chapel which lies within the Palais de la Cite, in Paris, France. The chapel was constructed sometime after 1238, commissioned by King Louis IX of France, aimed solely at housing his collection of relics from the last times of Jesus Christ until his crucifixion. It includes one of the most important relics, Christâ€™s Crown of Thorns, which was later hosted by the Notre Dame Cathedral. It houses one of the most sizeable 13th-Century stained glass collections of the world. The primary highlights of this chapel are its stained glass collection, its classical opera and concert. ",https://www.holidify.com/images/cmsuploads/square/PI42855-hr_20190701161808.jpg,2.9,1.9,3100,-1,0,1,1,8.2,7.7,6.7,5.6,6.5,1.6,8.5,5
183,Musee Rodin ,Paris," MusÃ©e Rodin in Paris, France is a museum that opened in 1919 and is dedicated to famed French sculptor, Auguste Rodin. This museum has two sites â€“ the Hotel Biron and Villa des Brillants which was Rodinâ€™s old home at Meudon. His artworks â€“ sculptures and drawings form the collection in the museum here along with some of Rodinâ€™s masterpieces like The Thinker, The Gates of Hell, Balzac and The Kiss. Besides his own artwork, the museum also houses Rodinâ€™s own collection of artworks and hosts temporary exhibitions here at Rodinâ€™s. ",https://www.holidify.com/images/cmsuploads/square/6785822050_e4001ebb95_b_20190809160321.jpg,3.8,3.8,3000,-1,1,1,1,9,5.4,2,6.1,5.7,2.4,8.3,5.5
184,Champs Elysees ,Paris, Paris's iconic 2 km promenade stretches from the Place de la Concorde to the Place Charles de Gaulle. ,https://www.holidify.com/images/attr_square/11172.jpg,5.1,6.9,1200,0,1,1,0,2.1,2.8,9.5,8.8,2.2,9.4,8,7.2
185,Cruise on Seine River ,Paris, A cruise on the Seine right through the heart of Paris. ,https://www.holidify.com/images/cmsuploads/square/french-river-1645793_960_720_20190724130848.jpg,4.1,6,3700,0,0,1,0,3,4.5,9.1,1.8,8.1,7.3,7.4,7.3
186,Jardin du Luxembourg  ,Paris," Situated near the Latin Quarters, the Luxembourg Gardens is the second largest public park in Paris. ",https://www.holidify.com/images/attr_square/11173.jpg,2.3,2.7,300,0,0,0,0,3.5,3.8,3.5,4.2,2.5,6.5,6.1,6.1
187,Place de la Concorde ,Paris," The Place de la Concorde is the largest public square in the French capital and one of the major squares in Paris, France. The square, designed by Ange-Jacques Gabriel in 1755, is octagonal and is bordered by gardens, hotels, and emblematic statues on each angle. The two fountains, Fountain of River Commerce and Navigation, and the Maritime Fountain, that date back to the time of Louis-Philippe and the beautiful view of the Eiffel Tower on one side, and the River Seine along with it makes Place de la Concorde a must visit. It also contains the renowned Obelisk that dates back to ancient Egyptian times. There are magnificent attractions that are present near Place de la Concorde such as Palais Bourbon, Jeu de Paume, Roue de Paris, Tuileries Garden, and Musee de lâ€™Orangerie. ",https://www.holidify.com/images/cmsuploads/square/Paris_-_Place_de_la_Concorde_-_3119_20190613181814.jpg,4.9,6.2,3200,0,0,1,1,5.1,6.9,3.9,2.3,6.9,5.3,7.8,2.9
188,Palais du Luxembourg ,Paris," Palais du Luxembourg, known as the Luxembourg Palace, currently serves as a popular tourist attraction as well as the seat of the Senate of the Fifth Republic. The palace was originally built to be the royal residence of the mother of Louis XIII of France, Marie deâ€™Medici. After the death of her husband Henry IV, Marie deâ€™ Medici became the regent to her son and hence, had herself a new palace erected; Luxembourg Palace, since she had levelled up to a much more powerful position. ",https://www.holidify.com/images/cmsuploads/square/Palais_du_Luxembourg_-_garden_facade_20190618133125.jpg,4.2,7.7,3600,1,0,0,1,8.4,5.5,7.9,1.6,7.8,8.4,6.6,2.3
189,Foundation Louis Vuitton ,Paris, The Louis Vuitton Foundation is an art and cultural museum funded by the LVMH group. ,https://www.holidify.com/images/cmsuploads/square/23372953941_6376470368_b_20190116135836.jpg,4.9,7.3,3400,1,0,0,1,4.9,7.9,6.3,7.1,3.8,7.9,4,5.1
190,Les Catacomb de Paris ,Paris," Paris is not all romantic, in fact the Catacombs are quite nerve chilling! A labyrinth of dimly lit tunnels, a tour of the Parisian ossuary is not recommended for the faint hearted. This underground space holds some six million bones of the deceased after cemeteries in Paris became saturated. Make sure you are in sturdy footwear since the tunnel path is gravel laden, uneven and even slippery at times. One of the most popular places of attraction in Paris, an early morning visit is recommended to avoid queues. The catacomb's pathways are maze-like and hence a guide is essential. You would not want to get lost here! ",https://www.holidify.com/images/attr_square/11175.jpg,2.4,5.3,1900,0,1,0,0,3.2,6.5,1.9,3.7,5.7,7.8,2.8,3.9
191,Le Marais ,Paris," Located on the right bank of the Seine, Le Marais is a historic district in Paris that has now become a hotspot for LGBTQ, Jewish and Chinese cultures. This neighbourhood offers a fantastic shopping as well as dining experience with its array of boutiques, flagship stores and high end as well as street-side restaurants. While in Le Marais, the places to not miss out on are the MusÃ©e Picasso, the Carnavalet museum and the national archives which include the grand mansions - HÃ´tel de Sully and Hotel de Soubise. Laced with museums, rich culture, LGBTQ friendly streets and delicious food joints, Le Marais is a place to visit while in Paris. ",https://www.holidify.com/images/cmsuploads/square/34253403482_da8a6dc624_b_20190809162009.jpg,2.7,4.5,2200,1,1,0,1,6,6.4,6.4,7,2.8,1.6,2.4,3.2
192,Cimetiere du Pere Lachaise ,Paris, The largest cemetery in Paris is an extremely peaceful walk as you pay homage to some of the renowned names in history. ,https://www.holidify.com/images/attr_square/11178.jpg,2.5,5.2,700,-1,1,0,0,3.1,6.9,6.4,2.7,4.5,3.5,8.2,3.3
193,Centre Pompidou ,Paris," The hub of art and culture in the city of Paris, Centre Pompidou is a multicultural complex with a museum, library and art galleries, hosting exhibitions and performances along with guided tours and events. It is a high-tech architectural space designed by Renzo Piano and Richard Rogers and named after former French President George Pompidou.This space has been devoted to the modern and contemporary art styles of the world and houses the most extensive contemporary art collection in the world. The MusÃ©e National d'Art Moderne is the place of primary interest here, with exhibitions organised every year based on varied themes and monographs. ",https://www.holidify.com/images/cmsuploads/square/31809441194_2a66fa6465_b_20190809103920.jpg,5,5.7,1800,-1,0,1,0,5.1,4.9,5.2,4.9,6.9,4.6,2.6,4.9
194,Cabaret ,Paris," Paradis Latin was transformed into the most famous cabaret location in Paris, by Gustave Eiffel. ",https://www.holidify.com/images/attr_square/11183.jpg,5.8,6.6,600,1,1,0,0,6.8,4.2,8.9,2.1,9.2,4.8,9.2,2.8
195,Hotel Des Invalides ,Paris, The facility was originally built to shelter invalides (disabled war veterans). Even today a portion of the building serves as a veterans' residence and hospital. ,https://www.holidify.com/images/attr_square/11185.jpg,3.8,5.7,3100,0,0,0,0,2.9,6.9,1.6,4.7,7.9,4.7,8,6.9
196,Musee Picasso ,Paris," The Musee Picasso (Picasso Museum) is an art museum located in the Hotel Sale, in the Marais district of Paris. It is entirely dedicated to the works of the legendary Spanish artist Pablo Picasso. Among these artworks are the Celestina, Girl Before a Mirror and The death of Casagemas which are deemed to be some of the most famous works by Picasso. Works by artists such as Rousseau, Degas and Renoir also stand amongst them. A significant collection of African art by which Picasso was inspired is also present in Musee Picasso. The Picasso Museum belongs to the City of Paris and has been classified as a historical monument since 1968. ",https://www.holidify.com/images/cmsuploads/square/MusC3A9e_Picasso_28Paris29_PA00086157_281529_20190615145328.jpg,3.3,2.2,3100,0,0,1,1,4.2,1.8,3.3,7.5,4.1,5.9,8.2,7.6
197,Pont Neuf ,Paris," Pont Neuf is the oldest standing bridge in Paris, France, which is located by the western point of the Ã_le de la CitÃ©. The bridge completed construction in 1607 and is to this date, an emblematic representation of that time. There are a handful of attractions near Pont Neuf that will ensure that you have a good time when you visit the bridge. These attractions include a beautiful park called the Square du Vert-Galant, a lively public square Place Dauphine, the famous Louvre Museum and La Villete. ",https://www.holidify.com/images/cmsuploads/square/Pont_Neuf_Seine_Paris_20190617162929.jpg,3.5,6.9,1000,0,0,0,0,3,8.1,8.8,1.9,4.7,1.9,2.2,4.4
198,Pont Alexandre III ,Paris," In a city with around 37 bridges spanning over the tranquil Seine, Pont Alexandre III stands seamlessly amidst the Paris skyline - joining Invalides, on the left bank with the Grand Palais on the right bank. Apart from serving as a link to some significant marvels of Paris, Pont Alexandre III also carries with it a rich historical import. It was built as a consequence of Franco-Russian peace with the first stone being laid in 1986 by Tsar Nicholas II. From 1975, Pont Alexandre III also features in the list of Monument Historique of France. ",https://www.holidify.com/images/cmsuploads/square/12334157545_f0423af7d9_b_20190719100854.jpg,5.2,4.7,800,0,1,0,1,4.5,6.9,3.3,3.1,5.2,9.5,5.1,6.2
199,Ile de la Cite ,Paris," River Seine is home to around 117 islands out of which 4 islands were location on Parisian turf. Ile de la Cite, one of the only two remaining islands, boasts of a long nostalgic history - of the oldest civilization (the Celtic tribe Parisii) on the land of Paris - and a growing cultural prestige as it is homeground to some of the most notable figures of the Parisian skyline - the Notre Dame Cathedral, the Sainte Chappelle, the Palais de Justice (formerly known as the Palace de la Cite), La Conciergerie, Pont Neuf and Place Dauphine amongst others.A ship-shaped island, Ile de la Cite is not only just the geographical or historical centre of the city but is also central to Parisâ€™ tourism and culture.  ",https://www.holidify.com/images/cmsuploads/square/Notre-Dame_de_Paris_and_le_de_la_Cit_at_dusk_140516_1_20190722124222.jpg,2.2,3.6,3800,0,0,1,0,2.3,8.7,6.5,8.4,5.2,6,5.4,9.1
200,Musee Jacquemart-Andre ,Paris," A private museum built in the 19th century, Musee Jacquemart-Andre holds a delightful collection of artworks amassed by the couple - Edouard Andre and Nelie Jacquemart. After Andreâ€™s death, Jacquemart prepared their house, built by Henri Parent from 1869-1975, to be entrusted to the Institut de France as a museum. ",https://www.holidify.com/images/cmsuploads/square/779px-Muse_Jacquemart_Andr_2007_-_Recoura_20190723171231.jpg,2.9,9.7,200,1,0,1,1,6.9,9,8.9,7.1,5.5,7.6,8.8,7.1
